player_id;player;team;age;games_played;wins;losses;minutes;rebounds;assists;turnovers;steals;blocks;personal_fouls;points
137;Elliot Williams;CHA;27;5;4;1;9.0;0.8;0.8;0.2;0.0;0.0;0.4;1.6
138;Elton Brand;PHI;37;17;2;15;13.2;3.7;1.1;0.6;0.5;0.5;1.9;4.1
139;Emmanuel Mudiay;DEN;20;68;29;39;30.4;3.4;5.5;3.2;1.0;0.5;2.1;12.8
140;Enes Kanter;OKC;24;82;55;27;21.0;8.1;0.4;1.4;0.3;0.4;2.0;12.7
141;Eric Bledsoe;PHX;26;31;12;19;34.2;4.0;6.1;3.5;2.0;0.6;2.4;20.4
142;Eric Gordon;NOP;27;45;14;31;32.9;2.2;2.7;1.6;1.0;0.3;2.2;15.2
143;Eric Moreland;SAC;24;8;1;7;5.9;1.4;0.1;0.4;0.0;0.5;0.5;1.0
144;Erick Green;DEN;25;9;6;3;4.7;0.7;0.3;0.0;0.1;0.0;0.4;1.4
145;Ersan Ilyasova;ORL;29;74;35;39;25.4;5.4;0.9;1.0;0.7;0.4;2.3;10.4
146;Evan Fournier;ORL;23;79;33;46;32.5;2.8;2.7;1.7;1.2;0.0;2.7;15.4
147;Evan Turner;BOS;27;81;47;34;28.0;4.9;4.4;2.1;1.0;0.3;1.7;10.5
148;Festus Ezeli;GSW;26;46;42;4;16.7;5.6;0.7;0.8;0.4;1.1;2.0;7.0
149;Frank Kaminsky;CHA;23;81;47;34;21.1;4.1;1.2;0.7;0.5;0.5;1.6;7.5
150;Garrett Temple;WAS;30;80;40;40;24.4;2.7;1.8;0.8;0.9;0.2;2.4;7.3
151;Gary Harris;DEN;21;76;31;45;32.1;2.9;1.9;1.3;1.3;0.2;1.9;12.3
152;Gary Neal;WAS;31;40;18;22;20.2;2.1;1.2;0.7;0.5;0.0;1.4;9.8
153;George Hill;IND;30;74;41;33;34.1;4.0;3.5;1.4;1.1;0.2;2.0;12.1
154;Gerald Green;MIA;30;69;40;29;22.6;2.4;0.8;0.7;0.6;0.3;1.8;8.9
155;Gerald Henderson;POR;28;72;39;33;19.9;2.9;1.0;0.9;0.5;0.3;1.2;8.7
156;Giannis Antetokounmpo;MIL;21;80;32;48;35.3;7.7;4.3;2.6;1.2;1.4;3.2;16.9
157;Glenn Robinson;IND;22;45;24;21;11.3;1.5;0.6;0.4;0.4;0.2;0.5;3.8
158;Goran Dragic;MIA;30;72;44;28;32.8;3.8;5.8;2.6;1.0;0.2;2.6;14.1
159;Gordon Hayward;UTA;26;80;38;42;36.2;5.0;3.7;2.5;1.2;0.3;2.3;19.7
160;Gorgui Dieng;MIN;26;82;29;53;27.1;7.1;1.7;1.7;1.1;1.2;2.7;10.1
161;Greg Monroe;MIL;26;79;32;47;29.3;8.8;2.3;1.6;0.9;0.8;2.1;15.3
162;Greg Smith;MIN;25;18;8;10;10.7;2.3;0.3;0.4;0.2;0.1;1.6;2.4
163;Greivis Vasquez;MIL;29;23;9;14;20.0;2.0;4.0;1.7;0.4;0.0;1.8;5.7
