Rebounds,Assists,Turnovers,Steals,Blocks,PersonalFouls,Points,Position,GenPosition
 James Posey,3.0 ,0.7 ,0.5 ,0.5 ,0.1 ,2.1 ,4.9 ,Small Forward,Forward
 Jared Dudley,3.9 ,1.3 ,0.9 ,1.1 ,0.2 ,1.7 ,10.6 ,Forward,Forward
 Jared Jeffries,2.8 ,0.9 ,0.5 ,0.7 ,0.4 ,1.8 ,1.8 ,Forward Center,Forward
 Jarrett Jack,2.1 ,2.9 ,1.3 ,0.7 ,0.1 ,1.2 ,8.9 ,Guard,Guard
 Jarron Collins,0.9 ,0.1 ,0.3 ,0.1 ,0.0 ,1.0 ,0.7 ,Center,Center
 Jason Collins,2.1 ,0.4 ,0.5 ,0.2 ,0.2 ,2.0 ,2.0 ,Forward Center,Forward
 Jason Kapono,0.5 ,0.2 ,0.1 ,0.1 ,0.0 ,0.2 ,0.7 ,Guard Forward,Guard
 Jason Kidd,4.4 ,8.2 ,2.2 ,1.7 ,0.4 ,1.5 ,7.9 ,Guard,Guard
 Jason Maxiell,3.0 ,0.3 ,0.8 ,0.4 ,0.4 ,1.6 ,4.2 ,Forward Center,Forward
 Jason Richardson,4.1 ,1.8 ,1.2 ,1.2 ,0.2 ,2.0 ,15.6 ,Guard Forward,Guard
 Jason Smith,3.1 ,0.5 ,0.7 ,0.3 ,0.4 ,1.9 ,4.3 ,Forward Center,Forward
 Jason Terry,1.9 ,4.1 ,2.0 ,1.1 ,0.2 ,1.7 ,15.8 ,Guard,Guard
 Jason Thompson,6.1 ,1.2 ,1.3 ,0.4 ,0.6 ,2.8 ,8.8 ,Forward Center,Forward
 JaVale McGee,8.0 ,0.5 ,1.3 ,0.5 ,2.4 ,2.9 ,10.1 ,Center,Center
 Jawad Williams,1.8 ,0.8 ,0.6 ,0.3 ,0.1 ,1.3 ,4.0 ,Guard Forward,Guard
 Jeff Adrien,2.5 ,0.4 ,0.4 ,0.2 ,0.2 ,1.2 ,2.5 ,Forward,Forward
 Jeff Foster,6.3 ,0.8 ,0.5 ,0.4 ,0.6 ,2.3 ,3.3 ,Forward Center,Forward
 Jeff Green,4.8 ,1.4 ,1.3 ,0.7 ,0.5 ,2.8 ,13.3 ,Guard Forward,Guard
 Jeff Teague,1.5 ,2.0 ,0.9 ,0.6 ,0.4 ,1.2 ,5.2 ,Point Guard,Guard
 Jeremy Evans,2.0 ,0.5 ,0.4 ,0.3 ,0.3 ,1.0 ,3.6 ,Forward,Forward
 Jeremy Lin,1.2 ,1.4 ,0.6 ,1.1 ,0.3 ,1.1 ,2.6 ,Guard,Guard
 Jermaine O'Neal,3.7 ,0.5 ,1.1 ,0.1 ,1.3 ,2.7 ,5.4 ,Center,Center
 Jermaine Taylor,1.8 ,0.9 ,1.4 ,0.4 ,0.1 ,1.1 ,6.6 ,Shooting Guard,Guard
 Jerry Stackhouse,1.0 ,0.4 ,0.3 ,0.0 ,0.3 ,0.4 ,1.7 ,Guard Forward,Guard
 Jerryd Bayless,2.3 ,3.7 ,1.8 ,0.5 ,0.1 ,2.1 ,9.2 ,Guard,Guard
