Rebounds,Assisst,Turnovers,Steals,Blocks,Personal Fouls,Points,Position,General Position
Nikola Vucevic,8.9,2.8,1.9,0.8,1.1,2.7,18.2,Forward Center,Foward
Omer Asik,6.1,0.4,0.9,0.3,0.3,1.8,4,Forward Center,Foward
Patrick Patterson,4.3,1.2,0.8,0.7,0.4,1.6,6.9,Forward Center,Foward
Pau Gasol,11,4.1,2.3,0.6,2,2.1,16.5,Forward Center,Foward
Paul Millsap,9,3.3,2.4,1.8,1.7,2.9,17.1,Forward Center,Foward
Richaun Holmes,2.6,0.6,0.6,0.4,0.8,1.8,5.6,Forward Center,Foward
Ryan Anderson,6,1.1,1.4,0.6,0.4,1.7,17,Forward Center,Foward
Serge Ibaka,6.8,0.8,1.4,0.5,1.9,2.7,12.6,Forward Center,Foward
Spencer Hawes,4.3,1.9,1,0.4,0.5,1.9,6,Forward Center,Foward
Taj Gibson,6.9,1.5,1.1,0.6,1.1,2.5,8.6,Forward Center,Foward
Tarik Black,4,0.4,0.6,0.4,0.5,2,3.4,Forward Center,Foward
Thomas Robinson,5.1,0.6,1,0.5,0.5,1.6,4.3,Forward Center,Foward
Tim Duncan,7.3,2.7,1.5,0.8,1.3,2,8.6,Forward Center,Foward
Tristan Thompson,9,0.8,0.7,0.5,0.6,2.5,7.8,Forward Center,Foward
Tyler Hansbrough,2,0.2,0.3,0.3,0.2,1.3,2.4,Forward Center,Foward
Tyler Zeller,3,0.5,0.8,0.2,0.4,1.6,6.1,Forward Center,Foward
Willie Cauley-Stein,5.3,0.6,0.7,0.7,1,2.2,7,Forward Center,Foward
Willie Reed,3.1,0.3,0.4,0.2,0.8,1.2,4.7,Forward Center,Foward
Zach Randolph,7.8,2.1,1.5,0.6,0.2,2.1,15.3,Forward Center,Foward
Alec Burks,3.5,2,1.6,0.6,0.1,2.3,13.3,Guard,Guard
Allen Crabbe,2.7,1.2,0.8,0.8,0.2,2.4,10.3,Guard,Guard
Andre Miller,1.3,2.2,0.9,0.4,0,1.2,3.7,Guard,Guard
Andrew Goudelock,0.3,0.5,0.9,0.8,0.3,0.5,2.8,Guard,Guard
Archie Goodwin,2.5,2.1,1.8,0.5,0.2,1.5,8.9,Guard,Guard
Austin Rivers,1.9,1.5,0.9,0.7,0.1,2,8.9,Guard,Guard
Avery Bradley,2.9,2.1,1.4,1.5,0.3,2.2,15.2,Guard,Guard
Brandon Knight,3.9,5.1,3.4,1.2,0.4,2.4,19.6,Guard,Guard
Brian Roberts,0.8,1.1,0.5,0.2,0,0.7,4,Guard,Guard
Bryce Dejean-Jones,3.4,1.1,0.8,0.7,0.1,1.2,5.6,Guard,Guard
C.J. McCollum,3.2,4.3,2.5,1.2,0.3,2.3,20.8,Guard,Guard
Devin Harris,2.2,1.8,1,0.9,0.2,1.9,7.6,Guard,Guard
Donald Sloan,2.8,4.4,1.3,0.5,0.1,1.2,7,Guard,Guard
Dwyane Wade,4.1,4.6,2.7,1.1,0.6,1.6,19,Guard,Guard
E'Twaun Moore,2.3,1.7,0.9,0.6,0.3,1.7,7.5,Guard,Guard
Eric Bledsoe,4,6.1,3.5,2,0.6,2.4,20.4,Guard,Guard
Erick Green,0.7,0.3,0,0.1,0,0.4,1.4,Guard,Guard
Garrett Temple,2.7,1.8,0.8,0.9,0.2,2.4,7.3,Guard,Guard
